ThreadID: 4006a0df74710000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4006e0d774710000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400600df74710000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400660de74710000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4006c0dd74710000, CarID: 4, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400620dd74710000, CarID: 5, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400640d774710000, CarID: 6, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4006a0d674710000, CarID: 7, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400600d674710000, CarID: 8, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400660d574710000, CarID: 9, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4006c0d474710000, CarID: 10, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400620d474710000, CarID: 11, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400680d374710000, CarID: 12, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4006e0d274710000, CarID: 13, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400640d274710000, CarID: 14, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4006a0d174710000, CarID: 15, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400600d174710000, CarID: 16, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400660d074710000, CarID: 17, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4006c0cf74710000, CarID: 18, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400620cf74710000, CarID: 19, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400680ce74710000, CarID: 20, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4006e0cd74710000, CarID: 21, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400640cd74710000, CarID: 22, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4006a0cc74710000, CarID: 23, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400600cc74710000, CarID: 24, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400660cb74710000, CarID: 25, Object: N0, time stamp: 0, AID: 0 traveling to connector.
