ThreadID: 4006c0ea3c710000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400620ea3c710000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4006e0e33c710000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400680e93c710000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4006e0e83c710000, CarID: 4, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400640e33c710000, CarID: 5, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 400680e93c710000, CarID: 3, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 400680e93c710000, CarID: 3, Object: N0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 4006e0e83c710000, CarID: 4, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 400640e33c710000, CarID: 5, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 4006c0ea3c710000, CarID: 0, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 4006e0e83c710000, CarID: 4, Object: N0, time stamp: 110, AID: 2 started passing connector.
ThreadID: 400640e33c710000, CarID: 5, Object: N0, time stamp: 120, AID: 2 started passing connector.
ThreadID: 400620ea3c710000, CarID: 1, Object: N0, time stamp: 300, AID: 1 arrived at connector.
ThreadID: 400680e93c710000, CarID: 3, Object: N0, time stamp: 501, AID: 3 finished passing connector.
ThreadID: 400680e93c710000, CarID: 3, Object: N0, time stamp: 501, AID: 0 traveling to connector.
ThreadID: 4006e0e83c710000, CarID: 4, Object: N0, time stamp: 511, AID: 3 finished passing connector.
ThreadID: 4006e0e83c710000, CarID: 4, Object: N0, time stamp: 511, AID: 0 traveling to connector.
ThreadID: 400640e33c710000, CarID: 5, Object: N0, time stamp: 521, AID: 3 finished passing connector.
ThreadID: 400640e33c710000, CarID: 5, Object: N0, time stamp: 521, AID: 0 traveling to connector.
ThreadID: 4006c0ea3c710000, CarID: 0, Object: N0, time stamp: 521, AID: 2 started passing connector.
ThreadID: 400620ea3c710000, CarID: 1, Object: N0, time stamp: 532, AID: 2 started passing connector.
ThreadID: 4006e0e33c710000, CarID: 2, Object: N0, time stamp: 601, AID: 1 arrived at connector.
ThreadID: 400680e93c710000, CarID: 3, Object: N0, time stamp: 601, AID: 1 arrived at connector.
ThreadID: 4006e0e33c710000, CarID: 2, Object: N0, time stamp: 611, AID: 2 started passing connector.
ThreadID: 4006e0e83c710000, CarID: 4, Object: N0, time stamp: 611, AID: 1 arrived at connector.
ThreadID: 400640e33c710000, CarID: 5, Object: N0, time stamp: 621, AID: 1 arrived at connector.
